path,mse,source,completeness,title,width,height,aspect_ratio,is_grayscale,jpeg_quality,mean_saturation,dynamic_range
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-90.jpg,0.5417500734329224,tzigara,0.0,,400.0,292.0,1.3699,0.0,67.0,0.3,248.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-61.jpg,0.8031883835792542,tzigara,0.0,,400.0,267.0,1.4981,0.0,58.0,20.58,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-70.jpg,0.648573100566864,tzigara,0.0,,400.0,374.0,1.0695,0.0,69.0,74.25,250.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-81.jpg,0.5733145475387573,tzigara,0.0,,400.0,316.0,1.2658,0.0,65.0,14.7,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-26.jpg,0.432684063911438,tzigara,0.0,,400.0,297.0,1.3468,0.0,65.0,35.47,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-22.jpg,0.5538636445999146,tzigara,0.0,,400.0,362.0,1.105,0.0,56.0,60.52,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-32.jpg,0.7953004240989685,tzigara,0.0,,400.0,314.0,1.2739,0.0,69.0,0.14,248.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-3.jpg,0.6198031902313232,tzigara,0.0,,400.0,497.0,0.8048,0.0,64.0,43.43,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-49.jpg,0.7706547975540161,tzigara,0.0,,400.0,224.0,1.7857,0.0,56.0,72.13,245.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-23.jpg,0.6992039680480957,tzigara,0.0,,400.0,431.0,0.9281,0.0,62.0,54.48,244.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-70.jpg,0.8757435083389282,tzigara,0.0,,400.0,289.0,1.3841,0.0,64.0,0.2,246.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-55.jpg,0.6476691961288452,tzigara,0.0,,400.0,267.0,1.4981,0.0,63.0,11.31,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-64.jpg,0.2701627314090729,tzigara,0.0,,400.0,306.0,1.3072,0.0,54.0,76.13,249.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-29.jpg,0.6251672506332397,tzigara,0.0,,400.0,318.0,1.2579,0.0,64.0,15.0,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-58.jpg,1.0124561786651611,tzigara,0.0,,400.0,397.0,1.0076,0.0,56.0,0.29,255.0
