path,mse,source,completeness,title
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-68.jpg,1.1718238592147827,tzigara,0.5,"Casa meşterului Antonie Mogoş(În varianta reinstalată la Muzeul de Etnografie şi Artă Naţională (Bucureşti)), fotografie"
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-23.jpg,1.172858953475952,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-44.jpg,0.5791432857513428,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-87.jpg,0.6863053441047668,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-81.jpg,0.7872334122657776,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-30.jpg,0.4886476695537567,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-65.jpg,0.7273504137992859,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-19.jpg,0.5849484801292419,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-66.jpg,1.3349424600601196,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-98.jpg,0.8434100151062012,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-10.jpg,0.9484696984291076,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-59.jpg,0.6411643028259277,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-67.jpg,1.0991578102111816,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-52.jpg,0.388018786907196,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-98.jpg,0.8032100796699524,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-56.jpg,1.0101521015167236,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-8.jpg,0.3625940084457397,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-8.jpg,0.671298623085022,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-73.jpg,1.4381898641586304,tzigara,0.5,"Meşterul Antonie Mogoş(Portret), fotografie"
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-71.jpg,1.0332521200180054,tzigara,0.0,
